"2.2855","2.3211","2.3464","2.3427","2.3425","2.3413","2.3413","2.3182","2.3409","2.3387"
"2.2868","2.3446","2.3419","2.3436","2.3398","2.3295","2.3413","2.2913","2.2976","2.3094"
"2.2878","2.3422","2.3428","2.2623","2.3219","2.3261","2.2991","2.2953","2.2881","2.2949"
"2.2873","2.3428","2.2172","2.3027","2.2669","2.2911","2.2781","2.3321","2.3055","2.301"
"2.287","2.3417","2.3178","2.2929","2.2902","2.2778","2.2844","2.3004","2.2893","2.2872"
"2.2868","2.1632","2.2603","2.2821","2.2778","2.2825","2.2922","2.2736","2.2672","2.3227"
"2.2865","2.2367","2.1972","2.2783","2.3244","2.2929","2.2753","2.2646","2.3254","2.3276"
"2.2868","2.2583","2.2286","2.2715","2.3033","2.2627","2.2661","2.3266","2.3256","2.2565"
"2.2864","2.2554","2.2758","2.2734","2.2964","2.2639","2.3244","2.3267","2.2566","2.2778"
"2.2861","2.2453","2.2716","2.2803","2.2674","2.2639","2.3277","2.2565","2.2773","2.2742"
"2.0708","2.2036","2.2707","2.2935","2.2636","2.3267","2.2726","2.2672","2.2735","2.2789"
"2.0973","2.1724","2.2631","2.259","2.2658","2.327","2.2564","2.2858","2.2706","2.2844"
"2.1255","2.1289","2.2703","2.2524","2.325","2.2731","2.262","2.2724","2.285","2.2579"
"2.1455","2.1424","2.3113","2.2581","2.3265","2.2563","2.2705","2.2792","2.2583","2.2601"
"2.1557","2.2242","2.3025","2.2608","2.275","2.26","2.2726","2.2848","2.2586","2.2797"
"2.1607","2.2029","2.2584","2.2674","2.2575","2.2826","2.2706","2.2583","2.2616","2.2697"
"2.1628","2.2681","2.2478","2.3252","2.2564","2.2714","2.2693","2.2589","2.2623","2.2687"
"2.1584","2.2626","2.25","2.3256","2.2594","2.2721","2.2589","2.2612","2.2696","2.2682"
"2.1544","2.2564","2.2526","2.2742","2.2643","2.2707","2.2584","2.2623","2.2688","2.2589"
"2.1509","2.2552","2.2542","2.2587","2.2681","2.2693","2.2591","2.2706","2.2682","2.2584"
"2.146","2.2577","2.2583","2.2578","2.2705","2.2591","2.2619","2.2687","2.2591","2.2609"
"2.1411","2.2531","2.2618","2.2578","2.2717","2.2589","2.262","2.2682","2.2605","2.2619"
"2.1364","2.2534","2.2606","2.2606","2.271","2.2589","2.2615","2.2682","2.2599","2.2732"
"2.1321","2.2544","2.2672","2.2636","2.2699","2.2601","2.2694","2.2592","2.2616","2.2741"
"2.128","2.2544","2.2578","2.266","2.2596","2.2615","2.2683","2.2586","2.2644","2.2654"
"2.1241","2.2533","2.2733","2.2674","2.2592","2.2616","2.2682","2.2604","2.2734","2.2662"
"2.1207","2.2523","2.258","2.2689","2.2592","2.2614","2.2592","2.2614","2.2652","2.2751"
"2.1174","2.2515","2.258","2.2704","2.2592","2.27","2.2596","2.2624","2.2656","2.2745"
"2.1141","2.2507","2.2584","2.2712","2.2602","2.2689","2.2592","2.2644","2.2663","2.2656"
"2.1112","2.25","2.2597","2.2709","2.2608","2.2683","2.2606","2.2737","2.266","2.2662"
"2.1077","2.2511","2.2614","2.2606","2.2611","2.2682","2.2614","2.2652","2.2747","2.2742"
"2.1047","2.2522","2.2624","2.2598","2.2612","2.2593","2.2624","2.2657","2.2658","2.2752"
"2.1016","2.253","2.2634","2.2596","2.2611","2.2598","2.2627","2.2665","2.2658","2.2747"
"2.0986","2.2538","2.2643","2.2596","2.261","2.2591","2.2647","2.266","2.2671","2.2733"
"2.0959","2.2542","2.2652","2.2595","2.2696","2.2604","2.2649","2.2746","2.275","2.2706"
"2.0932","2.2547","2.266","2.2601","2.2689","2.261","2.2654","2.2659","2.2748","2.2696"
"2.0905","2.2554","2.2668","2.2605","2.2683","2.2618","2.2657","2.266","2.2744","2.264"
"2.0879","2.2559","2.2676","2.2604","2.2592","2.2625","2.2662","2.2664","2.2733","2.2632"
"2.0855","2.2564","2.2681","2.2604","2.2594","2.2632","2.266","2.2737","2.2712","2.2625"
"2.0833","2.2566","2.2687","2.2604","2.2587","2.2648","2.2657","2.2747","2.2698","2.2618"
"2.0808","2.2574","2.26","2.2606","2.2593","2.2649","2.2659","2.2745","2.2698","2.2605"
"2.0783","2.258","2.2603","2.2608","2.26","2.2651","2.266","2.2741","2.2635","2.2597"
"2.0759","2.2588","2.2607","2.2608","2.2604","2.2655","2.2662","2.2734","2.2629","2.2594"
"2.0739","2.2598","2.2608","2.2605","2.2612","2.2659","2.2725","2.2719","2.2621","2.2657"
"2.0725","2.2601","2.2607","2.2603","2.2618","2.2658","2.2738","2.2701","2.2616","2.2658"
"2.0711","2.2606","2.2604","2.2603","2.2622","2.2658","2.2742","2.27","2.2603","2.2659"
"2.0699","2.2609","2.2603","2.2691","2.2628","2.2658","2.2742","2.2694","2.2596","2.2669"
"2.0687","2.2612","2.2604","2.2598","2.2634","2.2659","2.2739","2.2633","2.2597","2.2665"
"2.0675","2.2616","2.2607","2.2596","2.2638","2.266","2.2735","2.2625","2.2659","2.26"
"2.0662","2.262","2.2606","2.2588","2.2649","2.2662","2.2729","2.262","2.2658","2.2601"
"2.0648","2.2625","2.2605","2.2593","2.2652","2.2667","2.2717","2.2615","2.2657","2.2599"
"2.0635","2.2629","2.2604","2.2597","2.2653","2.2731","2.2709","2.2606","2.2664","2.2604"
"2.0622","2.2634","2.2604","2.26","2.2656","2.2734","2.2703","2.2597","2.2667","2.2606"
"2.061","2.2637","2.2603","2.2603","2.2656","2.2735","2.2696","2.2599","2.2664","2.2607"
"2.0598","2.2642","2.2603","2.2607","2.2655","2.2737","2.269","2.2661","2.26","2.261"
"2.0586","2.2646","2.2602","2.261","2.2656","2.2737","2.2628","2.2661","2.2598","2.2614"
"2.0575","2.2649","2.2601","2.2613","2.2658","2.2734","2.2623","2.2657","2.26","2.2615"
"2.0564","2.2652","2.26","2.2618","2.2659","2.2729","2.2619","2.2659","2.2607","2.2615"
"2.0554","2.2654","2.26","2.2622","2.2661","2.2726","2.2613","2.2664","2.2605","2.2613"
"2.0544","2.2656","2.2599","2.2627","2.2661","2.2722","2.2608","2.2664","2.2606","2.26"
"2.0535","2.2565","2.26","2.263","2.2666","2.2717","2.2601","2.2665","2.2608","2.2596"
"2.0526","2.2565","2.2602","2.2633","2.2728","2.271","2.2599","2.2664","2.2611","2.2676"
"2.0518","2.2565","2.2602","2.2637","2.2732","2.2699","2.2663","2.2598","2.2612","2.269"
"2.051","2.2565","2.2603","2.2641","2.2733","2.2695","2.2662","2.2598","2.262","2.2684"
"2.0502","2.2567","2.2603","2.2644","2.2733","2.2692","2.2659","2.2606","2.2616","2.2553"
"2.0494","2.2569","2.2605","2.2646","2.2731","2.2688","2.2659","2.2608","2.261","2.2568"
"2.0487","2.257","2.2599","2.2654","2.2731","2.2624","2.2662","2.2605","2.26","2.2557"
"2.0478","2.2573","2.26","2.2653","2.2731","2.262","2.2662","2.2605","2.2599","2.2593"
"2.0471","2.2575","2.2602","2.2653","2.273","2.2615","2.2662","2.2608","2.2676","2.26"
"2.0463","2.2578","2.2605","2.2653","2.2728","2.2612","2.2663","2.261","2.2686","2.22"
"2.0456","2.2581","2.2604","2.2655","2.2725","2.2607","2.2665","2.2609","2.2688","2.2209"
"2.0448","2.2585","2.2604","2.2656","2.2722","2.2607","2.2662","2.2618","2.2694","2.2207"
"2.0441","2.2589","2.2604","2.2657","2.2722","2.2603","2.2661","2.262","2.2557","2.2205"
"2.0435","2.2591","2.2606","2.2659","2.2721","2.2664","2.2601","2.2613","2.2567","2.2205"
"2.0428","2.2593","2.2607","2.266","2.2718","2.2663","2.2607","2.267","2.2562","2.2198"
"2.0421","2.2594","2.2609","2.2663","2.2711","2.2663","2.2607","2.2671","2.2592","2.2191"
"2.0415","2.2596","2.261","2.2724","2.2706","2.2661","2.2607","2.2602","2.2195","2.2597"
"2.0408","2.2597","2.2613","2.2727","2.27","2.2663","2.2605","2.2679","2.2199","2.2596"
"2.0402","2.2599","2.2615","2.273","2.2694","2.2663","2.2606","2.2685","2.2201","2.2594"
"2.0396","2.26","2.2618","2.273","2.2691","2.2661","2.2608","2.2684","2.2206","2.2591"
